"","clusters","targets"
"1","1","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3182,ECO:B3189,ECO:B3230,ECO:B3296,ECO:B3396,ECO:B3426,ECO:B3699,ECO:B3887,ECO:B3985,ECO:B3987,ECO:B3988"
"2","2","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3182,ECO:B3396,ECO:B3426,ECO:B3699,ECO:B3985"
"3","3","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B1288,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3177,ECO:B3182,ECO:B3396,ECO:B3699"
"4","4","ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B1288,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3182,ECO:B3189,ECO:B3396,ECO:B3426,ECO:B3699"
"5","5","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B1288,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3177,ECO:B3182,ECO:B3230,ECO:B3296,ECO:B3396,ECO:B3699,ECO:B3887"
"6","6","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B1288,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3182,ECO:B3396,ECO:B3426,ECO:B3699"
"7","7","ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B1288,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3177,ECO:B3182,ECO:B3230,ECO:B3296,ECO:B3396,ECO:B3699,ECO:B3985,ECO:B3987,ECO:B3988"
"8","8","ECO:B0048,ECO:B1288"
"9","9","ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B1288,ECO:B2231,ECO:B3177,ECO:B3182,ECO:B3189,ECO:B3230,ECO:B3296,ECO:B3396,ECO:B3699,ECO:B3887,ECO:B3987,ECO:B3988"
"10","10","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3177,ECO:B3182,ECO:B3396,ECO:B3699,ECO:B3887,ECO:B3985,ECO:B3987,ECO:B3988"
"11","11","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B1288,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3177,ECO:B3182,ECO:B3230,ECO:B3296,ECO:B3396,ECO:B3699,ECO:B3887,ECO:B3985"
"12","12","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3396,ECO:B3699,ECO:B3887,ECO:B3987,ECO:B3988"
"13","13","ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B3182,ECO:B3396,ECO:B3987,ECO:B3988"
"14","14","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3182,ECO:B3189,ECO:B3230,ECO:B3296,ECO:B3396,ECO:B3426,ECO:B3699,ECO:B3887,ECO:B3987,ECO:B3988"
"15","15","ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B2231,ECO:B3177,ECO:B3182,ECO:B3189,ECO:B3396,ECO:B3426,ECO:B3699,ECO:B3987,ECO:B3988"
"16","16","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3182,ECO:B3396,ECO:B3699"
"17","all_clu","ECO:B0048,ECO:B0084,ECO:B0149,ECO:B0635,ECO:B0839,ECO:B1288,ECO:B2231,ECO:B3019,ECO:B3030,ECO:B3177,ECO:B3182,ECO:B3189,ECO:B3230,ECO:B3296,ECO:B3396,ECO:B3426,ECO:B3699,ECO:B3887,ECO:B3985,ECO:B3987,ECO:B3988"
