"Group 1","Group 2","Statistical test","Statistic","p-value","df"
"Additivity-Antagonism-Synergy","Additivity-Synergy","Welch Two Sample t-test","4.045","0","79.168"
"Additivity-Antagonism-Synergy","Additivity-Antagonism","Welch Two Sample t-test","2.039","0.045","72.326"
"Additivity-Antagonism-Synergy","Additivity","Welch Two Sample t-test","1.823","0.072","76.655"
"Additivity-Antagonism-Synergy","Antagonism-Synergy","Welch Two Sample t-test","-24.847","0","390"
"Additivity-Antagonism-Synergy","Synergy","Not enough observations","NA","NA","NA"
"Additivity-Synergy","Additivity-Antagonism","Welch Two Sample t-test","-4.924","0","478.435"
"Additivity-Synergy","Additivity","Welch Two Sample t-test","-4.978","0","593.055"
"Additivity-Synergy","Antagonism-Synergy","Welch Two Sample t-test","-18.39","0","72"
"Additivity-Synergy","Synergy","Not enough observations","NA","NA","NA"
"Additivity-Antagonism","Additivity","Welch Two Sample t-test","-0.469","0.639","792.971"
"Additivity-Antagonism","Antagonism-Synergy","Welch Two Sample t-test","-205.33","0","1707"
"Additivity-Antagonism","Synergy","Not enough observations","NA","NA","NA"
"Additivity","Antagonism-Synergy","Welch Two Sample t-test","-90.677","0","472"
"Additivity","Synergy","Not enough observations","NA","NA","NA"
"Antagonism-Synergy","Synergy","Not enough observations","NA","NA","NA"
